"","Marine","Gut"
"1",0.008032,0.01044
"2",0.0049994149292948,0.00653437751417385
"3",0.00378854771687888,0.00496782776582212
"4",0.00311182141873203,0.00408985531587556
"5",0.00267133415423047,0.00351719766150711
"6",0.00235813272112923,0.00310935460222956
"7",0.00212215274876298,0.00280165221991152
"8",0.00193691315464495,0.00255983320041012
"9",0.00178698877030232,0.00236391884203767
"10",0.00166273753134896,0.00220140778853035
"11",0.00155779786091085,0.00206404443927245
"12",0.00146778933407272,0.00194613953988523
"13",0.00138958925357124,0.00184363435570706
"14",0.00132090664024024,0.00175354916363267
"15",0.00126001953573586,0.00167364293110342
"16",0.00120560664119515,0.00160219506750915
"17",0.00115663581915308,0.00153786080313293
"18",0.00111228813953331,0.0014795726175041
"19",0.00107190485194939,0.00142647138593314
"20",0.00103494955648964,0.00137785723686781
"21",0.00100098069611482,0.00133315380155686
"22",0.00096963121049069,0.00129188175979286
"23",0.000940593254722944,0.00125363896302842
"24",0.000913606562477938,0.00121808529203742
"25",0.000888449472554558,0.00118493097606428
"26",0.000864931929767388,0.00115392747876347
"27",0.000842889968353715,0.0011248603122246
"28",0.00082218132189015,0.00109754331655552
"29",0.000802681898583212,0.00107181406565062
"30",0.000784282928057887,0.00104753014710327
"31",0.000766888634083917,0.00102456612697611
"32",0.000750414322814739,0.00100281105579043
"33",0.000734784801956253,0.000982166405680887
"34",0.00071993306549191,0.000962544353632298
"35",0.000705799193011032,0.000943866344466378
"36",0.000692329423613093,0.000926061881456527
"37",0.000679475372710582,0.000909067503311604
"38",0.000667193366486465,0.000892825914641178
"39",0.000655443873757065,0.000877285243515818
"40",0.000644191018897078,0.000862398404820951
"41",0.000633402162558747,0.000848122552107318
"42",0.000623047539354123,0.000834418603814994
"43",0.000613099943612258,0.000821250832278956
"44",0.000603534455881143,0.000808586505954199
"45",0.000594328204100458,0.000796395576935582
"46",0.000585460154389426,0.00078465040717482
"47",0.000576910927223492,0.000773325527878408
"48",0.000568662635452428,0.000762397427455481
"49",0.000560698741170599,0.00075184436411256
"50",0.000553003928911024,0.000741646199793342
"51",0.000545563993017024,0.000731784252660278
"52",0.000538365737363401,0.000722241165729823
"53",0.000531396885864913,0.000713000789620201
"54",0.000524646002432816,0.000704048077661589
"55",0.00051810241922788,0.000695368991863585
"56",0.000511756172216751,0.000686950418441783
"57",0.000505597943172839,0.000678780091780594
"58",0.000499619007376942,0.000670846525858491
"59",0.000493811186370152,0.000663138952288897
"60",0.000488166805194676,0.000655647264238588
"61",0.000482678653629522,0.000648361965578609
"62",0.000477339950989247,0.000641274124702765
"63",0.000472144314106777,0.000634375332517767
"64",0.000467085728166914,0.000627657664168765
"65",0.000462158520096672,0.000621113644115618
"66",0.000457357334252865,0.000614736214220128
"67",0.000452677110177217,0.000608518704543481
"68",0.000448113062215292,0.000602454806587154
"69",0.000443660660818263,0.000596538548740329
"70",0.00043931561536648,0.000590764273722851
